*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Feb  6 2025 20:33:19
*************************************************
parsing config file: /home/wzz/Pythia/config/spp_dev2.ini

trace_0 /home/wzz/Pythia/traces/619.lbm_s-2676B.champsimtrace.xz
adding L2C_PREFETCHER: SPP_dev2
Initialize SIGNATURE TABLE
ST_SET: 1
ST_WAY: 256
ST_TAG_BIT: 16
ST_TAG_MASK: ffff

Initialize PATTERN TABLE
PT_SET: 512
PT_WAY: 4
SIG_DELTA_BIT: 7
C_SIG_BIT: 4
C_DELTA_BIT: 4

Initialize PREFETCH FILTER
FILTER_SET: 1024
fill_threshold: 90
pf_threshold: 40

Initialize SHIP state
warmup_instructions 40000000
simulation_instructions 100000000
champsim_seed 279
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13


Heartbeat CPU  0 instructions:    1000002 cycles:     410158 heartbeat IPC: 2.43809 cumulative IPC: 2.43809 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    2000002 cycles:     818541 heartbeat IPC: 2.44868 cumulative IPC: 2.44337 (Simulation time: 0 hr 0 min 10 sec) 
Heartbeat CPU  0 instructions:    3000003 cycles:    1242976 heartbeat IPC: 2.35608 cumulative IPC: 2.41356 (Simulation time: 0 hr 0 min 16 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    1671637 heartbeat IPC: 2.33284 cumulative IPC: 2.39286 (Simulation time: 0 hr 0 min 21 sec) 
Heartbeat CPU  0 instructions:    5000000 cycles:    2094517 heartbeat IPC: 2.36474 cumulative IPC: 2.38719 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  0 instructions:    6000003 cycles:    2519050 heartbeat IPC: 2.35554 cumulative IPC: 2.38185 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  0 instructions:    7000001 cycles:    2942921 heartbeat IPC: 2.35920 cumulative IPC: 2.37859 (Simulation time: 0 hr 0 min 37 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3365043 heartbeat IPC: 2.36898 cumulative IPC: 2.37738 (Simulation time: 0 hr 0 min 42 sec) 
Heartbeat CPU  0 instructions:    9000001 cycles:    3784644 heartbeat IPC: 2.38322 cumulative IPC: 2.37803 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:   10000002 cycles:    4194055 heartbeat IPC: 2.44254 cumulative IPC: 2.38433 (Simulation time: 0 hr 0 min 53 sec) 
Heartbeat CPU  0 instructions:   11000003 cycles:    4606395 heartbeat IPC: 2.42519 cumulative IPC: 2.38799 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    5030940 heartbeat IPC: 2.35546 cumulative IPC: 2.38524 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  0 instructions:   13000000 cycles:    5453188 heartbeat IPC: 2.36828 cumulative IPC: 2.38393 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  0 instructions:   14000000 cycles:    5876822 heartbeat IPC: 2.36053 cumulative IPC: 2.38224 (Simulation time: 0 hr 1 min 14 sec) 
Heartbeat CPU  0 instructions:   15000003 cycles:    6297676 heartbeat IPC: 2.37613 cumulative IPC: 2.38183 (Simulation time: 0 hr 1 min 19 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    6717576 heartbeat IPC: 2.38151 cumulative IPC: 2.38181 (Simulation time: 0 hr 1 min 25 sec) 
Heartbeat CPU  0 instructions:   17000003 cycles:    7138185 heartbeat IPC: 2.37751 cumulative IPC: 2.38156 (Simulation time: 0 hr 1 min 30 sec) 
Heartbeat CPU  0 instructions:   18000003 cycles:    7556379 heartbeat IPC: 2.39123 cumulative IPC: 2.38209 (Simulation time: 0 hr 1 min 35 sec) 
Heartbeat CPU  0 instructions:   19000003 cycles:    7966205 heartbeat IPC: 2.44006 cumulative IPC: 2.38508 (Simulation time: 0 hr 1 min 40 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:    8377389 heartbeat IPC: 2.43199 cumulative IPC: 2.38738 (Simulation time: 0 hr 1 min 46 sec) 
Heartbeat CPU  0 instructions:   21000001 cycles:    8796535 heartbeat IPC: 2.38581 cumulative IPC: 2.38730 (Simulation time: 0 hr 1 min 51 sec) 
Heartbeat CPU  0 instructions:   22000002 cycles:    9217001 heartbeat IPC: 2.37832 cumulative IPC: 2.38689 (Simulation time: 0 hr 1 min 56 sec) 
Heartbeat CPU  0 instructions:   23000001 cycles:    9637159 heartbeat IPC: 2.38005 cumulative IPC: 2.38660 (Simulation time: 0 hr 2 min 1 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   10051663 heartbeat IPC: 2.41252 cumulative IPC: 2.38766 (Simulation time: 0 hr 2 min 7 sec) 
Heartbeat CPU  0 instructions:   25000000 cycles:   10473626 heartbeat IPC: 2.36988 cumulative IPC: 2.38695 (Simulation time: 0 hr 2 min 12 sec) 
Heartbeat CPU  0 instructions:   26000001 cycles:   10891301 heartbeat IPC: 2.39421 cumulative IPC: 2.38723 (Simulation time: 0 hr 2 min 17 sec) 
Heartbeat CPU  0 instructions:   27000001 cycles:   11312212 heartbeat IPC: 2.37580 cumulative IPC: 2.38680 (Simulation time: 0 hr 2 min 23 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   11724146 heartbeat IPC: 2.42757 cumulative IPC: 2.38823 (Simulation time: 0 hr 2 min 28 sec) 
Heartbeat CPU  0 instructions:   29000000 cycles:   12131235 heartbeat IPC: 2.45647 cumulative IPC: 2.39052 (Simulation time: 0 hr 2 min 33 sec) 
Heartbeat CPU  0 instructions:   30000003 cycles:   12545369 heartbeat IPC: 2.41468 cumulative IPC: 2.39132 (Simulation time: 0 hr 2 min 39 sec) 
Heartbeat CPU  0 instructions:   31000001 cycles:   12964727 heartbeat IPC: 2.38459 cumulative IPC: 2.39110 (Simulation time: 0 hr 2 min 44 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   13376715 heartbeat IPC: 2.42725 cumulative IPC: 2.39222 (Simulation time: 0 hr 2 min 49 sec) 
Heartbeat CPU  0 instructions:   33000001 cycles:   13794968 heartbeat IPC: 2.39090 cumulative IPC: 2.39218 (Simulation time: 0 hr 2 min 55 sec) 
Heartbeat CPU  0 instructions:   34000003 cycles:   14208132 heartbeat IPC: 2.42035 cumulative IPC: 2.39300 (Simulation time: 0 hr 3 min 0 sec) 
Heartbeat CPU  0 instructions:   35000000 cycles:   14619243 heartbeat IPC: 2.43243 cumulative IPC: 2.39410 (Simulation time: 0 hr 3 min 5 sec) 
