*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Feb  6 2025 20:33:19
*************************************************
parsing config file: /home/wzz/Pythia/config/spp_dev2.ini

trace_0 /home/wzz/Pythia/traces/649.fotonik3d_s-1176B.champsimtrace.xz
adding L2C_PREFETCHER: SPP_dev2
Initialize SIGNATURE TABLE
ST_SET: 1
ST_WAY: 256
ST_TAG_BIT: 16
ST_TAG_MASK: ffff

Initialize PATTERN TABLE
PT_SET: 512
PT_WAY: 4
SIG_DELTA_BIT: 7
C_SIG_BIT: 4
C_DELTA_BIT: 4

Initialize PREFETCH FILTER
FILTER_SET: 1024
fill_threshold: 90
pf_threshold: 40

Initialize SHIP state
warmup_instructions 40000000
simulation_instructions 100000000
champsim_seed 273
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
log2_dram_channels 0
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 32
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13


Heartbeat CPU  0 instructions:    1000001 cycles:     430288 heartbeat IPC: 2.32403 cumulative IPC: 2.32403 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  0 instructions:    2000002 cycles:     860276 heartbeat IPC: 2.32565 cumulative IPC: 2.32484 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  0 instructions:    3000002 cycles:    1290288 heartbeat IPC: 2.32552 cumulative IPC: 2.32506 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    1720224 heartbeat IPC: 2.32592 cumulative IPC: 2.32528 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  0 instructions:    5000000 cycles:    2150108 heartbeat IPC: 2.32621 cumulative IPC: 2.32546 (Simulation time: 0 hr 0 min 23 sec) 
Heartbeat CPU  0 instructions:    6000001 cycles:    2579973 heartbeat IPC: 2.32631 cumulative IPC: 2.32561 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  0 instructions:    7000001 cycles:    3009834 heartbeat IPC: 2.32633 cumulative IPC: 2.32571 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    3439786 heartbeat IPC: 2.32584 cumulative IPC: 2.32573 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:    9000003 cycles:    3869747 heartbeat IPC: 2.32580 cumulative IPC: 2.32573 (Simulation time: 0 hr 0 min 41 sec) 
Heartbeat CPU  0 instructions:   10000000 cycles:    4299729 heartbeat IPC: 2.32567 cumulative IPC: 2.32573 (Simulation time: 0 hr 0 min 46 sec) 
Heartbeat CPU  0 instructions:   11000000 cycles:    4729706 heartbeat IPC: 2.32571 cumulative IPC: 2.32573 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:    5159651 heartbeat IPC: 2.32588 cumulative IPC: 2.32574 (Simulation time: 0 hr 0 min 55 sec) 
Heartbeat CPU  0 instructions:   13000000 cycles:    5589697 heartbeat IPC: 2.32533 cumulative IPC: 2.32571 (Simulation time: 0 hr 1 min 0 sec) 
Heartbeat CPU  0 instructions:   14000002 cycles:    6019652 heartbeat IPC: 2.32583 cumulative IPC: 2.32572 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  0 instructions:   15000003 cycles:    6449626 heartbeat IPC: 2.32572 cumulative IPC: 2.32572 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:    6879592 heartbeat IPC: 2.32576 cumulative IPC: 2.32572 (Simulation time: 0 hr 1 min 13 sec) 
Heartbeat CPU  0 instructions:   17000001 cycles:    7309551 heartbeat IPC: 2.32581 cumulative IPC: 2.32572 (Simulation time: 0 hr 1 min 18 sec) 
Heartbeat CPU  0 instructions:   18000003 cycles:    7739505 heartbeat IPC: 2.32583 cumulative IPC: 2.32573 (Simulation time: 0 hr 1 min 23 sec) 
Heartbeat CPU  0 instructions:   19000003 cycles:    8169488 heartbeat IPC: 2.32567 cumulative IPC: 2.32573 (Simulation time: 0 hr 1 min 27 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:    8599447 heartbeat IPC: 2.32580 cumulative IPC: 2.32573 (Simulation time: 0 hr 1 min 32 sec) 
Heartbeat CPU  0 instructions:   21000002 cycles:    9029496 heartbeat IPC: 2.32532 cumulative IPC: 2.32571 (Simulation time: 0 hr 1 min 36 sec) 
Heartbeat CPU  0 instructions:   22000002 cycles:    9459543 heartbeat IPC: 2.32533 cumulative IPC: 2.32569 (Simulation time: 0 hr 1 min 41 sec) 
Heartbeat CPU  0 instructions:   23000003 cycles:    9889468 heartbeat IPC: 2.32599 cumulative IPC: 2.32571 (Simulation time: 0 hr 1 min 46 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   10319451 heartbeat IPC: 2.32567 cumulative IPC: 2.32571 (Simulation time: 0 hr 1 min 50 sec) 
Heartbeat CPU  0 instructions:   25000002 cycles:   10749321 heartbeat IPC: 2.32629 cumulative IPC: 2.32573 (Simulation time: 0 hr 1 min 55 sec) 
Heartbeat CPU  0 instructions:   26000001 cycles:   11179166 heartbeat IPC: 2.32642 cumulative IPC: 2.32575 (Simulation time: 0 hr 2 min 0 sec) 
Heartbeat CPU  0 instructions:   27000003 cycles:   11609162 heartbeat IPC: 2.32561 cumulative IPC: 2.32575 (Simulation time: 0 hr 2 min 4 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   12039099 heartbeat IPC: 2.32592 cumulative IPC: 2.32576 (Simulation time: 0 hr 2 min 9 sec) 
Heartbeat CPU  0 instructions:   29000000 cycles:   12469156 heartbeat IPC: 2.32527 cumulative IPC: 2.32574 (Simulation time: 0 hr 2 min 13 sec) 
Heartbeat CPU  0 instructions:   30000000 cycles:   12899178 heartbeat IPC: 2.32546 cumulative IPC: 2.32573 (Simulation time: 0 hr 2 min 18 sec) 
Heartbeat CPU  0 instructions:   31000002 cycles:   13329187 heartbeat IPC: 2.32554 cumulative IPC: 2.32572 (Simulation time: 0 hr 2 min 23 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   13759175 heartbeat IPC: 2.32564 cumulative IPC: 2.32572 (Simulation time: 0 hr 2 min 27 sec) 
Heartbeat CPU  0 instructions:   33000001 cycles:   14189204 heartbeat IPC: 2.32543 cumulative IPC: 2.32571 (Simulation time: 0 hr 2 min 32 sec) 
Heartbeat CPU  0 instructions:   34000003 cycles:   14619147 heartbeat IPC: 2.32589 cumulative IPC: 2.32572 (Simulation time: 0 hr 2 min 37 sec) 
Heartbeat CPU  0 instructions:   35000000 cycles:   15048940 heartbeat IPC: 2.32669 cumulative IPC: 2.32575 (Simulation time: 0 hr 2 min 41 sec) 
